id	description	en	local
def_rotor_coaxial_prop_end_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	-1到1的值，代表滚转角度。
def_rotor_coaxial_prop_end_node_1_label		Pitch	俯仰Pitch
def_rotor_coaxial_prop_end_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表俯仰角度。
def_rotor_coaxial_prop_end_node_2_label		RPS	动力
def_rotor_coaxial_prop_end_node_2_desc		Receives power generated by an engine.	接收来自发动机的动力
def_rotor_coaxial_prop_end_node_3_label		Collective	总距
def_rotor_coaxial_prop_end_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表螺旋桨总距。
def_rotor_coaxial_prop_small_name		Rotor Propeller (Small)	旋翼推进器（小型）
def_rotor_coaxial_prop_small_desc		Two standard number inputs control the rotor's swashplate, allowing you to affect the its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater.	两个数字输入控制旋翼的倾斜盘，允许您影响其俯仰Pitch和滚动Roll。从发动机接收到的功率影响旋翼将产生的上下作用力的大小。在水下时，螺旋桨的输出力减小。
def_rotor_coaxial_prop_small_s_desc		A helicopter rotor with controllable pitch and roll.	能够控制直升机俯仰、滚动的螺旋桨
def_rotor_coaxial_prop_small_node_0_label		Roll	滚转Roll
def_rotor_coaxial_prop_small_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	-1到1的值，代表滚转角度。
def_rotor_coaxial_prop_small_node_1_label		Pitch	俯仰Pitch
def_rotor_coaxial_prop_small_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表俯仰角度。
def_rotor_coaxial_prop_small_node_2_label		RPS	动力
def_rotor_coaxial_prop_small_node_2_desc		Receives power generated by an engine.	接收来自发动机的动力
def_rotor_coaxial_prop_small_node_3_label		Collective	总距
def_rotor_coaxial_prop_small_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表螺旋桨总距。
def_rotor_coaxial_prop_small_node_4_label		Power	动力
def_rotor_coaxial_prop_small_node_4_desc			
def_rotor_coaxial_prop_small_end_name		Rotor Propeller End (Small)	旋翼推进器末端（小型）
def_rotor_coaxial_prop_small_end_desc		Two standard number inputs control the rotor's swashplate, allowing you to affect the its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater.	两个数字输入控制旋翼的倾斜盘，允许您影响其俯仰Pitch和滚动Roll。从发动机接收到的功率影响旋翼将产生的上下作用力的大小。在水下时，螺旋桨的输出力减小。
def_rotor_coaxial_prop_small_end_s_desc		A helicopter rotor with controllable pitch and roll.	能够控制直升机俯仰、滚动的螺旋桨
def_rotor_coaxial_prop_small_end_node_0_label		Roll	滚转Roll
def_rotor_coaxial_prop_small_end_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	-1到1的值，代表滚转角度。
def_rotor_coaxial_prop_small_end_node_1_label		Pitch	俯仰Pitch
def_rotor_coaxial_prop_small_end_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表俯仰角度。
def_rotor_coaxial_prop_small_end_node_2_label		RPS	动力
def_rotor_coaxial_prop_small_end_node_2_desc		Receives power generated by an engine.	接收来自发动机的动力
def_rotor_coaxial_prop_small_end_node_3_label		Collective	总距
def_rotor_coaxial_prop_small_end_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表螺旋桨总距。
def_rotor_coaxial_small_name		Rotor (Small)	旋翼（小型）
def_rotor_coaxial_small_desc		Two standard number inputs control the rotor's swashplate, allowing you to affect the its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater.	两个数字输入控制旋翼的倾斜盘，允许您影响其俯仰Pitch和滚动Roll。从发动机接收到的功率影响旋翼将产生的上下作用力的大小。在水下时，螺旋桨的输出力减小。
def_rotor_coaxial_small_s_desc		A helicopter rotor with controllable pitch and roll.	能够控制直升机俯仰、滚动的螺旋桨
def_rotor_coaxial_small_node_0_label		Roll	滚转Roll
def_rotor_coaxial_small_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	-1到1的值，代表滚转角度。
def_rotor_coaxial_small_node_1_label		Pitch	俯仰Pitch
def_rotor_coaxial_small_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表俯仰角度。
def_rotor_coaxial_small_node_2_label		RPS	动力
def_rotor_coaxial_small_node_2_desc		Receives power generated by an engine.	接收来自发动机的动力
def_rotor_coaxial_small_node_3_label		Collective	总距
def_rotor_coaxial_small_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	-1到1的值，代表螺旋桨总距。
def_rotor_coaxial_small_node_4_label		Power	动力
def_rotor_coaxial_small_node_4_desc			
def_rudder_name		Rudder	方向舵
def_rudder_desc		It takes a number input between -1 and 1 that represent the two extremes of the rudder's rotation.	它需要一个介于-1和1之间的数字输入，表示方向舵旋转的两个极值。
def_rudder_s_desc		The rudder can be attached to the underside of a boat to control its yaw, allowing you to steer left and right.	舵可以附在船的下侧以控制它的偏航(Yaw)，允许你左右控制舵。
def_rudder_node_0_label		Rotation	旋转
def_rudder_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the rudder's rotation.	接受介于-1和1之间的值，该值表示方向舵旋转的两个极值。
def_rudder_node_1_label		Electric	电源
def_rudder_node_1_desc		Electrical power connection.	电源连接。
def_rudder_surface_name		Fin Rudder	鳍舵
def_rudder_surface_desc		It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.	它需要一个介于-1和1之间的数字输入，表示鳍旋转的两个极值。
def_rudder_surface_s_desc		The fin rudder can be attached to the keel of a boat to control its yaw, allowing you to steer left and right.	鳍舵可以附在船的龙骨上，以控制船的偏航(Yaw)，使你可以左右控制舵。
def_rudder_surface_node_0_label		Rotation	旋转
def_rudder_surface_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the rudder's rotation.	接受介于-1和1之间的值，该值表示方向舵旋转的两个极值。
def_rudder_surface_node_1_label		Electric	电源
def_rudder_surface_node_1_desc		Electrical power connection.	电源连接。
def_rx_huge_name		Radio RX Huge (Deprecated)	巨型无线电RX(已弃用)
def_rx_huge_desc		Sends and receives data on the specified frequencies.	按指定发送频率和接收数据。
def_rx_huge_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_huge_node_0_label		Data Send	数据发送
def_rx_huge_node_0_desc			
def_rx_huge_node_1_label		Data Recv	数据接收
def_rx_huge_node_1_desc			
def_rx_huge_node_2_label		Electric	电源
def_rx_huge_node_2_desc			
def_rx_huge_node_3_label		Frequency Send	发送频率
def_rx_huge_node_3_desc			
def_rx_huge_node_4_label		Frequency Recv	频率接收
def_rx_huge_node_4_desc			
def_rx_huge_node_5_label		Signal Strength	信号强度
def_rx_huge_node_5_desc			
def_rx_huge_v2_name		Radio RX Huge	巨型无线电接收
def_rx_huge_v2_desc		Sends and receives data on the specified frequency. Transmit Mode defaults to receive.	以指定的发送频率和接收数据。传输模式默认为接收。
def_rx_huge_v2_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_huge_v2_node_0_label		Audio Recv	音频接收
def_rx_huge_v2_node_0_desc		Output for received audio data.	接收音频数据的输出。
def_rx_huge_v2_node_1_label		Audio Send	音频发送
def_rx_huge_v2_node_1_desc		Input for audio data to send.	用于发送音频数据的输入。
def_rx_huge_v2_node_2_label		Data Send	数据发送
def_rx_huge_v2_node_2_desc		Output for received composite data.	接收的复合数据的输出。
def_rx_huge_v2_node_3_label		Data Recv	数据接收
def_rx_huge_v2_node_3_desc		Input for composite data to send.	用于复合数据的输入。
def_rx_huge_v2_node_4_label		Electric	电源
def_rx_huge_v2_node_4_desc		Electrical input.	电气输入。
def_rx_huge_v2_node_5_label		Frequency	频率
def_rx_huge_v2_node_5_desc		Radio Send/Receive Frequency.	无线电发送/接收频率。
def_rx_huge_v2_node_6_label		Signal Strength	信号强度
def_rx_huge_v2_node_6_desc		Strength of connection signal.	连接信号强度。
def_rx_huge_v2_node_7_label		Transmit Mode	传输模式
def_rx_huge_v2_node_7_desc		Wether the Radio is transmitting or Receiving.	选择无线电是发射还是接收。
def_rx_large_name		Radio RX Large (Deprecated)	大型无线电RX(已弃用)
def_rx_large_desc		Sends and receives data on the specified frequencies.	按指定发送频率和接收数据。
def_rx_large_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_large_node_0_label		Data Send	数据发送
def_rx_large_node_0_desc			
def_rx_large_node_1_label		Data Recv	数据接收
def_rx_large_node_1_desc			
def_rx_large_node_2_label		Electric	电源
def_rx_large_node_2_desc			
def_rx_large_node_3_label		Frequency Send	发送频率
def_rx_large_node_3_desc			
def_rx_large_node_4_label		Frequency Recv	频率接收
def_rx_large_node_4_desc			
def_rx_large_node_5_label		Signal Strength	信号强度
def_rx_large_node_5_desc			
def_rx_large_v2_name		Radio RX Large	大型无线电接收
def_rx_large_v2_desc		Sends and receives data on the specified frequency. Transmit Mode defaults to receive.	以指定的发送频率和接收数据。传输模式默认为接收。
def_rx_large_v2_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_large_v2_node_0_label		Audio Recv	音频接收
def_rx_large_v2_node_0_desc		Output for received audio data.	接收音频数据的输出。
def_rx_large_v2_node_1_label		Audio Send	音频发送
def_rx_large_v2_node_1_desc		Input for audio data to send.	用于发送音频数据的输入。
def_rx_large_v2_node_2_label		Data Send	数据发送
def_rx_large_v2_node_2_desc		Output for received composite data.	接收的复合数据的输出。
def_rx_large_v2_node_3_label		Data Recv	数据接收
def_rx_large_v2_node_3_desc		Input for composite data to send.	用于复合数据的输入。
def_rx_large_v2_node_4_label		Electric	电源
def_rx_large_v2_node_4_desc		Electrical input.	电气输入。
def_rx_large_v2_node_5_label		Frequency	频率
def_rx_large_v2_node_5_desc		Radio Send/Receive Frequency.	无线电发送/接收频率。
def_rx_large_v2_node_6_label		Signal Strength	信号强度
def_rx_large_v2_node_6_desc		Strength of connection signal.	连接信号强度。
def_rx_large_v2_node_7_label		Transmit Mode	传输模式
def_rx_large_v2_node_7_desc		Wether the Radio is transmitting or Receiving.	选择无线电是发射还是接收。
def_rx_med_name		Radio RX Medium (Deprecated)	无线电接收中等(已弃用)
def_rx_med_desc		Sends and receives data on the specified frequencies.	按指定发送频率和接收数据。
def_rx_med_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_med_node_0_label		Data Send	数据发送
def_rx_med_node_0_desc			
def_rx_med_node_1_label		Data Recv	数据接收
def_rx_med_node_1_desc			
def_rx_med_node_2_label		Electric	电源
def_rx_med_node_2_desc			
def_rx_med_node_3_label		Frequency Send	发送频率
def_rx_med_node_3_desc			
def_rx_med_node_4_label		Frequency Recv	频率接收
def_rx_med_node_4_desc			
def_rx_med_node_5_label		Signal Strength	信号强度
def_rx_med_node_5_desc			
def_rx_med_v2_name		Radio RX Medium	中型无线电接收
def_rx_med_v2_desc		Sends and receives data on the specified frequency. Transmit Mode defaults to receive.	以指定的发送频率和接收数据。传输模式默认为接收。
def_rx_med_v2_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_med_v2_node_0_label		Audio Recv	音频接收
def_rx_med_v2_node_0_desc		Output for received audio data.	接收音频数据的输出。
def_rx_med_v2_node_1_label		Audio Send	音频发送
def_rx_med_v2_node_1_desc		Input for audio data to send.	用于发送音频数据的输入。
def_rx_med_v2_node_2_label		Data Send	数据发送
def_rx_med_v2_node_2_desc		Output for received composite data.	接收的复合数据的输出。
def_rx_med_v2_node_3_label		Data Recv	数据接收
def_rx_med_v2_node_3_desc		Input for composite data to send.	用于复合数据的输入。
def_rx_med_v2_node_4_label		Electric	电源
def_rx_med_v2_node_4_desc		Electrical input.	电气输入。
def_rx_med_v2_node_5_label		Frequency	频率
def_rx_med_v2_node_5_desc		Radio Send/Receive Frequency.	无线电发送/接收频率。
def_rx_med_v2_node_6_label		Signal Strength	信号强度
def_rx_med_v2_node_6_desc		Strength of connection signal.	连接信号强度。
def_rx_med_v2_node_7_label		Transmit Mode	传输模式
def_rx_med_v2_node_7_desc		Wether the Radio is transmitting or Receiving.	选择无线电是发射还是接收。
def_rx_small_name		Radio RX Small (Deprecated)	小型无线电接收(已弃用)
def_rx_small_desc		Sends and receives data on the specified frequencies.	按指定发送频率和接收数据。
def_rx_small_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_small_node_0_label		Data Send	数据发送
def_rx_small_node_0_desc			
def_rx_small_node_1_label		Data Recv	数据接收
def_rx_small_node_1_desc			
def_rx_small_node_2_label		Electric	电源
def_rx_small_node_2_desc			
def_rx_small_node_3_label		Frequency Send	发送频率
def_rx_small_node_3_desc			
def_rx_small_node_4_label		Frequency Recv	频率接收
def_rx_small_node_4_desc			
def_rx_small_v2_name		Radio RX Small	小型无线电接收
def_rx_small_v2_desc		Sends and receives data on the specified frequency. Transmit Mode defaults to receive.	以指定的发送频率和接收数据。传输模式默认为接收。
def_rx_small_v2_s_desc		A radio data transmitter and receiver.	无线电数据发射器和接收器。
def_rx_small_v2_node_0_label		Audio Recv	音频接收
def_rx_small_v2_node_0_desc		Output for received audio data.	接收音频数据的输出。
def_rx_small_v2_node_1_label		Audio Send	音频发送
def_rx_small_v2_node_1_desc		Input for audio data to send.	用于发送音频数据的输入。
def_rx_small_v2_node_2_label		Data Send	数据发送
def_rx_small_v2_node_2_desc		Output for received composite data.	接收的复合数据的输出。
def_rx_small_v2_node_3_label		Data Recv	数据接收
def_rx_small_v2_node_3_desc		Input for composite data to send.	用于复合数据的输入。
def_rx_small_v2_node_4_label		Electric	电源
def_rx_small_v2_node_4_desc		Electrical input.	电气输入。
def_rx_small_v2_node_5_label		Frequency	频率
def_rx_small_v2_node_5_desc		Radio Send/Receive Frequency.	无线电发送/接收频率。
def_rx_small_v2_node_6_label		Transmit Mode	传输模式
def_rx_small_v2_node_6_desc		Wether the Radio is transmitting or Receiving.	选择无线电是发射还是接收。
def_rx_video_r_name		Radio Video Recv	无线电视频信号接受
def_rx_video_r_desc		Receives a video signal on the frequency specified.	接收指定频率的视频信号。
def_rx_video_r_s_desc		A radio receiver for receiving video signals.	接收视频信号的无线电接收器。
def_rx_video_r_node_0_label		Video Recv	视频接收
def_rx_video_r_node_0_desc			
def_rx_video_r_node_1_label		Electric	电源
def_rx_video_r_node_1_desc			
def_rx_video_r_node_2_label		Frequency Recv	接收频率
def_rx_video_r_node_2_desc			
def_rx_video_r_node_3_label		Signal Strength	信号强度
def_rx_video_r_node_3_desc			
def_rx_video_x_name		Radio Video Xmit	无线视频Xmit
def_rx_video_x_desc		Sends a video signal on the frequency specified.	按指定的发送频率视频信号。
def_rx_video_x_s_desc		A radio transmitter for sending video signals.	发送视频信号的无线电发射器。
def_rx_video_x_node_0_label		Video Send	视频发送
def_rx_video_x_node_0_desc			
def_rx_video_x_node_1_label		Electric	电源
def_rx_video_x_node_1_desc			
def_rx_video_x_node_2_label		Frequency Send	发送频率
def_rx_video_x_node_2_desc			
def_scoop_intake_2_name		Air Scoop Intake 1x1	进气口 1x1
def_scoop_intake_2_desc		An air intake component that performs better at higher velocity.	在高速下表现更好的进气口组件
def_scoop_intake_2_s_desc		An air intake component.	进气口
def_scoop_intake_2_node_0_label		Fluid	气体
def_scoop_intake_2_node_0_desc		Air output port.	气体输出端口
def_searchlight_name		Search Light	探照灯
def_searchlight_desc		The light has a standard value input that sets the target orientation within the its range of motion. It can rotate a quarter turn in both directions. An on/off signal is used to switch the light on and off. It has a range of 120m.	灯光有一个标准值输入，用于在其运动范围内设置目标方向。它可以在两个方向旋转四分之一圈。开关信号用于打开和关闭灯。它的射程是120米。
def_searchlight_s_desc		A spotlight that can be rotated up and down.	可以上下旋转的聚光灯。
def_searchlight_node_0_label		Light Switch	灯光开关
def_searchlight_node_0_desc		Controls whether or not the light is switched on.	控制灯是否打开。
def_searchlight_node_1_label		Rotation	旋转
def_searchlight_node_1_desc		Standard value between -1 and 1 representing the target orientation of the light.	介于-1和1之间的标准值，表示灯光的目标方向。
def_searchlight_node_2_label		Electric	电源
def_searchlight_node_2_desc		Electrical power connection.	电源连接。
def_searchlight_small_name		Small Spotlight (Block)	小聚光灯(块)
def_searchlight_small_desc		It has a range of 60m.	它的范围是60米。
def_searchlight_small_s_desc		A small spotlight that can be controlled using an on/off signal.	一种可以用开/关信号控制的小聚光灯。
def_searchlight_small_node_0_label		Light Switch	灯光开关
def_searchlight_small_node_0_desc		Controls whether or not the light is switched on.	控制灯是否打开。
def_searchlight_small_node_1_label		Electric	电源
def_searchlight_small_node_1_desc		Electrical power connection.	电源连接。
def_searchlight_small_2_name		Small Spotlight (Mounted)	小聚光灯(挂载)
def_searchlight_small_2_desc		It has a range of 60m.	它的范围是60米。
def_searchlight_small_2_s_desc		A small spotlight that can be controlled using an on/off signal.	一种可以用开/关信号控制的小聚光灯。
def_searchlight_small_2_node_0_label		Light Switch	灯光开关
def_searchlight_small_2_node_0_desc		Controls whether or not the light is switched on.	控制灯是否打开。
def_searchlight_small_2_node_1_label		Electric	电源
def_searchlight_small_2_node_1_desc		Electrical power connection.	电源连接。
def_seat_name		Pilot Seat	驾驶员座椅
def_seat_desc		It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the pilot seat by interacting with it using [$[action_use_seat]].	它提供4个输出，产生从-1到1的标准值，以及6个开/关输出。您可以通过使用 [$[action_use_seat]]与飞行员座椅交互来进出。
def_seat_s_desc		The pilot seat lets you translate keyboard presses into output signals that can control logic components.	飞行员座椅可以将键盘按键转换成可以控制逻辑元件的输出信号。
def_seat_node_0_label		Occupied	占用
def_seat_node_0_desc		Outputs an on signal if this seat is occupied by a character.	如果这个座位被一个角色占用，则输出一个接通信号。
def_seat_node_1_label		Axis 1 [$[action_left]]/[$[action_right]]	轴1[$[action_left]]/[$[action_right]]
def_seat_node_1_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_left]]和[$[action_right]]进行控制。[$[action_left]]使输出值向-1移动，[$[action_right]]将其向1移动。
def_seat_node_2_label		Axis 2 [$[action_up]]/[$[action_down]]	轴2[$[action_up]/[$[action_down]]
def_seat_node_2_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_up]]和[$[action_down]]进行控制。[$[action_down]]使输出值向-1移动，[$[action_up]]将其向1移动。
def_seat_node_3_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	轴3 [$[action_pedal_left]] and [$[action_pedal_right]]
def_seat_node_3_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用 [$[action_pedal_left]] and [$[action_pedal_right]]进行控制。[$[action_pedal_left]]使输出值向-1移动，[$[action_pedal_right]]将其向1移动。
def_seat_node_4_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	轴4[$[action_throttle_up]]/[$[action_throttle_down]]
def_seat_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_throttle_up]]和[$[action_throttle_down]]进行控制。[$[action_throttle_down]]使输出值向-1移动，[$[action_throttle_up]]将其向1移动。
def_seat_node_5_label		Hotkey 1 [$[action_hotkey_1]]	热键1[$[action_hotkey_1]]
def_seat_node_5_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	按住[$[action_hotkey_1]]时输出打开信号，不按住时输出关闭信号。
def_seat_node_6_label		Hotkey 2 [$[action_hotkey_2]]	热键2[$[action_hotkey_2]]
def_seat_node_6_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	按住[$[action_hotkey_2]]时输出打开信号，不按住时输出关闭信号。
def_seat_node_7_label		Hotkey 3 [$[action_hotkey_3]]	热键3[$[action_hotkey_3]]
def_seat_node_7_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	按住[$[action_hotkey_3]时输出打开信号，不按住时输出关闭信号。
def_seat_node_8_label		Hotkey 4 [$[action_hotkey_4]]	热键4[$[action_hotkey_4]]
def_seat_node_8_desc		Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	按住[$[action_hotkey_4]]时输出打开信号，不按住时输出关闭信号。
def_seat_node_9_label		Hotkey 5 [$[action_hotkey_5]]	热键5[$[action_hotkey_5]]
def_seat_node_9_desc		Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	在按住[$[action_hotkey_5]]时输出打开信号，在不按住时输出关闭信号。
def_seat_node_10_label		Hotkey 6 [$[action_hotkey_6]]	热键6[$[action_hotkey_6]]
def_seat_node_10_desc		Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	在按住[$[action_hotkey_6]]时输出打开信号，在不按住时输出关闭信号。
def_seat_node_11_label		Seat data	座椅数据
def_seat_node_11_desc		Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]])	从座椅输出轴、热键和占用数据。(开/关1+：热键)(开/关32：已占用)(值1:[$[action_left]/[$[action_right]](值2:[$[action_up]/[$[action_down]])(值3:[$[action_pedal_left]/[$[action_pedal_right]])(值4:[$[action_throttle_up]/[$[action_throttle_down]])
def_seat_node_12_label		Headset Audio	耳机音频
def_seat_node_12_desc			
def_seat_node_13_label		Headset Audio	耳机音频
def_seat_node_13_desc			
def_seat_bed_name		Bed	床
def_seat_bed_desc		You can get in and out of the bed by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any bed by using [$[action_use_seat]] while carrying them.	你可以通过使用[$[action_use_seat]]与之交互来上下床。你可以在携带幸存者时使用 [$[action_use_seat]]将获救的幸存者放置在任何床上。
def_seat_bed_s_desc		A bed.	一张床。
def_seat_bed_node_0_label		Occupied	占用
def_seat_bed_node_0_desc		Outputs an on signal if this bed is occupied by a character.	如果这个床被一个角色占用，则输出一个信号。
def_seat_compact_name		Compact Pilot Seat	紧凑型驾驶员座椅
def_seat_compact_desc		It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the compact pilot seat by interacting with it using [$[action_use_seat]].	它提供4个输出，产生从-1到1的标准值，以及6个开/关输出。您可以通过使用 [$[action_use_seat]]与紧凑型驾驶员座椅交互来进出。
def_seat_compact_s_desc		The compact pilot seat lets you translate keyboard presses into output signals that can control logic components.	小巧的飞行员座椅可以将键盘按键转换成可以控制逻辑元件的输出信号。
def_seat_compact_node_0_label		Occupied	占用
def_seat_compact_node_0_desc		Outputs an on signal if this seat is occupied by a character.	如果这个座位被一个角色占用，则输出一个接通信号。
def_seat_compact_node_1_label		Axis 1 [$[action_left]]/[$[action_right]]	轴1[$[action_left]]/[$[action_right]]
def_seat_compact_node_1_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_left]]和[$[action_right]]进行控制。[$[action_left]]使输出值向-1移动，[$[action_right]]将其向1移动。
def_seat_compact_node_2_label		Axis 2 [$[action_up]]/[$[action_down]]	轴2[$[action_up]/[$[action_down]]
def_seat_compact_node_2_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_up]]和[$[action_down]]进行控制。[$[action_down]]使输出值向-1移动，[$[action_up]]将其向1移动。
def_seat_compact_node_3_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	轴3 [$[action_pedal_left]] and [$[action_pedal_right]]
def_seat_compact_node_3_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用 [$[action_pedal_left]] and [$[action_pedal_right]]进行控制。[$[action_pedal_left]]使输出值向-1移动，[$[action_pedal_right]]将其向1移动。
def_seat_compact_node_4_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	轴4[$[action_throttle_up]]/[$[action_throttle_down]]
def_seat_compact_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_throttle_up]]和[$[action_throttle_down]]进行控制。[$[action_throttle_down]]使输出值向-1移动，[$[action_throttle_up]]将其向1移动。
def_seat_compact_node_5_label		Hotkey 1 [$[action_hotkey_1]]	热键1[$[action_hotkey_1]]
def_seat_compact_node_5_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	按住[$[action_hotkey_1]]时输出打开信号，不按住时输出关闭信号。
def_seat_compact_node_6_label		Hotkey 2 [$[action_hotkey_2]]	热键2[$[action_hotkey_2]]
def_seat_compact_node_6_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	按住[$[action_hotkey_2]]时输出打开信号，不按住时输出关闭信号。
def_seat_compact_node_7_label		Hotkey 3 [$[action_hotkey_3]]	热键3[$[action_hotkey_3]]
def_seat_compact_node_7_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	按住[$[action_hotkey_3]时输出打开信号，不按住时输出关闭信号。
def_seat_compact_node_8_label		Hotkey 4 [$[action_hotkey_4]]	热键4[$[action_hotkey_4]]
def_seat_compact_node_8_desc		Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	按住[$[action_hotkey_4]]时输出打开信号，不按住时输出关闭信号。
def_seat_compact_node_9_label		Hotkey 5 [$[action_hotkey_5]]	热键5[$[action_hotkey_5]]
def_seat_compact_node_9_desc		Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	在按住[$[action_hotkey_5]]时输出打开信号，在不按住时输出关闭信号。
def_seat_compact_node_10_label		Hotkey 6 [$[action_hotkey_6]]	热键6[$[action_hotkey_6]]
def_seat_compact_node_10_desc		Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	在按住[$[action_hotkey_6]]时输出打开信号，在不按住时输出关闭信号。
def_seat_compact_node_11_label		Seat data	座椅数据
def_seat_compact_node_11_desc		Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]])	从座椅输出轴、热键和占用数据。(开/关1+：热键)(开/关32：已占用)(值1:[$[action_left]/[$[action_right]](值2:[$[action_up]/[$[action_down]])(值3:[$[action_pedal_left]/[$[action_pedal_right]])(值4:[$[action_throttle_up]/[$[action_throttle_down]])
def_seat_compact_node_12_label		Headset Audio	耳机音频
def_seat_compact_node_12_desc			
